S. No,Order Date,Order Number,Email ID,Payment Status,SKU Code,Product Name,Product Type,Product Category,Qty,List Price,Order Value,Discount Value,Subtotal,Tax Value,Shipping Charge,Grand Total,Currency,SAP ID,Cert ID,Company / Partner Name,Partner Type,Billing Address,Billing City,Billing State Name,Billing State,Billing Country Name,Billing Country,Billing Zip Code,Shipping Address,Shipping City,Shipping State Name,Shipping State,Shipping Country Name,Shipping Country,Shipping Zip Code,Sales Rep Name,Sales Rep Emp Code,Payment Terms,Payment Reference,Payment Method,Next Payment Due At,Entity Name,Sales Org Code,Entity,Division Name,Division Code,Profit Center,Comments,Fulfillment Status,Fulfilled At,Discount Code
11,2026-07-14T12:10:12Z,#1588,moxi.patel.ctr@eccouncil.org,PENDING,CSCU-V03-CNT-EDU-DRM-RPS-EV-iLAB-VID,"Continuing Education Bundle: Certified Secure Computer User (CSCU) Version 3 e-Courseware with Exam Voucher (RPS), iLabs & Videos",DRM W/PU EV + iLabs + iVideo,CSCU,2,99.0,198.0,0,2889.0,252.78,0.0,3141.78,USD,574318926140,SAP8N5T1Q4LX,Test USA Entity,Academia,123 Madison Ave,Amityville,New York,NY,United States,US,11701,123 Madison Ave,Amityville,New York,NY,United States,US,11701,"Tyler Gray
",K5M1X9P,Net 7,,,2026-07-21,International Council of E-Commerce Consultants Inc,SO16,ICEC,Academia US,016,201,,,,
12,2026-07-14T12:10:12Z,#1588,moxi.patel.ctr@eccouncil.org,PENDING,DFE-V01-iLEARN,Digital Forensics Essentials  (DFE) Version 1 iLearn Kit,,,9,299.0,2691.0,0,2889.0,252.78,0.0,3141.78,USD,574318926140,SAP8N5T1Q4LX,Test USA Entity,Academia,123 Madison Ave,Amityville,New York,NY,United States,US,11701,123 Madison Ave,Amityville,New York,NY,United States,US,11701,"Tyler Gray
",K5M1X9P,Net 7,,,2026-07-21,International Council of E-Commerce Consultants Inc,SO16,ICEC,Academia US,016,201,,,,
13,2026-07-14T11:05:41Z,#1587,anandprakash.prasad@eccouncil.org,PAID,DFE-V01-iLAB-EVPREP-EV-RPS-ECL,Digital Forensics Essentials (DFE) Version 1 iLabs with Exam Prep & Exam Voucher (RPS),iLabs + Prep EV + PU EV,DFE,1,75.99,75.99,0,250.98,15.81,0.0,266.79,USD,470918632155,Y6K2A7T9PXLM,Anand's Company,Academia,555 N 5th Ave APT 731,Phoenix,Arizona,AZ,United States,US,85003,555 N 5th Ave APT 731,Phoenix,Arizona,AZ,United States,US,85003,"Noah Hayes
",E5P7R1K,Net 7,#1587.1,US (Manual Bank Transfer),2026-07-21,International Council of E-Commerce Consultants Inc,SO16,ICEC,Academia US,016,201,,SUCCESS,2026-07-14T11:06:35Z,
14,2026-07-14T11:05:41Z,#1587,anandprakash.prasad@eccouncil.org,PAID,CSCU-V03-CNT-EDU-DRM-RPS-EV-iLAB-VID,"Continuing Education Bundle: Certified Secure Computer User (CSCU) Version 3 e-Courseware with Exam Voucher (RPS), iLabs & Videos",DRM W/PU EV + iLabs + iVideo,CSCU,1,99.0,99.0,0,250.98,15.81,0.0,266.79,USD,470918632155,Y6K2A7T9PXLM,Anand's Company,Academia,555 N 5th Ave APT 731,Phoenix,Arizona,AZ,United States,US,85003,555 N 5th Ave APT 731,Phoenix,Arizona,AZ,United States,US,85003,"Noah Hayes
",E5P7R1K,Net 7,#1587.1,US (Manual Bank Transfer),2026-07-21,International Council of E-Commerce Consultants Inc,SO16,ICEC,Academia US,016,201,,SUCCESS,2026-07-14T11:06:35Z,
15,2026-07-14T11:05:41Z,#1587,anandprakash.prasad@eccouncil.org,PAID,EHE-V01-iLAB-EVPREP-EV-RPS-ECL,Ethical Hacking Essentials (EHE) Version 1 iLabs with Exam Prep & Exam Voucher (RPS),iLabs + Prep EV + PU EV,EHE,1,75.99,75.99,0,250.98,15.81,0.0,266.79,USD,470918632155,Y6K2A7T9PXLM,Anand's Company,Academia,555 N 5th Ave APT 731,Phoenix,Arizona,AZ,United States,US,85003,555 N 5th Ave APT 731,Phoenix,Arizona,AZ,United States,US,85003,"Noah Hayes
",E5P7R1K,Net 7,#1587.1,US (Manual Bank Transfer),2026-07-21,International Council of E-Commerce Consultants Inc,SO16,ICEC,Academia US,016,201,,SUCCESS,2026-07-14T11:06:35Z,
16,2026-07-14T10:57:55Z,#1586,anandprakash.prasad@eccouncil.org,PARTIALLY_REFUNDED,CCT-V01-iLAB,Certified Cybersecurity Technician (CCT) Version 1 iLabs,iLabs,CCT,1,125.0,125.0,0,159.99,10.08,0.0,170.07,USD,470918632155,Y6K2A7T9PXLM,Anand's Company,Academia,555 N 5th Ave APT 731,Phoenix,Arizona,AZ,United States,US,85003,555 N 5th Ave APT 731,Phoenix,Arizona,AZ,United States,US,85003,"Noah Hayes
",E5P7R1K,Net 7,#1586.2,US (Manual Bank Transfer),2026-07-21,International Council of E-Commerce Consultants Inc,SO16,ICEC,Academia US,016,201,"========================
RESTOCKING ENGINE

Processed: 14 Jul 2026, 10:59:13 AM UTC

Return ID: 13132136513

Returned Item (1):

• Certified Cybersecurity Technician (CCT) Version 1 iLabs
  • Qty   : 1
  • Value : USD 125.00

Restocking Fee       : USD 12.50
Tax Amount           : USD 0.79
Final Deduction      : USD 13.29
Cumulative Deduction : USD 13.29

========================

",SUCCESS,2026-07-14T10:58:28Z,
17,2026-07-14T10:57:55Z,#1586,anandprakash.prasad@eccouncil.org,PARTIALLY_REFUNDED,DFE-V01-CLAB-ECL,Pledge Rate Admin Fee: Digital Forensics Essentials (DFE) Version 1 CyberQ Labs,CQ iLabs,DFE,1,34.99,34.99,0,159.99,10.08,0.0,170.07,USD,470918632155,Y6K2A7T9PXLM,Anand's Company,Academia,555 N 5th Ave APT 731,Phoenix,Arizona,AZ,United States,US,85003,555 N 5th Ave APT 731,Phoenix,Arizona,AZ,United States,US,85003,"Noah Hayes
",E5P7R1K,Net 7,#1586.2,US (Manual Bank Transfer),2026-07-21,International Council of E-Commerce Consultants Inc,SO16,ICEC,Academia US,016,201,"========================
RESTOCKING ENGINE

Processed: 14 Jul 2026, 10:59:13 AM UTC

Return ID: 13132136513

Returned Item (1):

• Certified Cybersecurity Technician (CCT) Version 1 iLabs
  • Qty   : 1
  • Value : USD 125.00

Restocking Fee       : USD 12.50
Tax Amount           : USD 0.79
Final Deduction      : USD 13.29
Cumulative Deduction : USD 13.29

========================

",SUCCESS,2026-07-14T10:58:28Z,
18,2026-07-14T10:57:27Z,#1585,anandprakash.prasad@eccouncil.org,PAID,CSE-V01-CLAB-ECL,Cloud Security Essentials (CSE) Version 1 CyberQ Labs,CQ iLabs,CSE,1,34.99,34.99,0,134.97,8.5,0.0,143.47,USD,470918632155,Y6K2A7T9PXLM,Anand's Company,Academia,555 N 5th Ave APT 731,Phoenix,Arizona,AZ,United States,US,85003,555 N 5th Ave APT 731,Phoenix,Arizona,AZ,United States,US,85003,"Noah Hayes
",E5P7R1K,Net 7,#1585.1,US (Manual Bank Transfer),2026-07-21,International Council of E-Commerce Consultants Inc,SO16,ICEC,Academia US,016,201,,SUCCESS,2026-07-14T11:00:35Z,
19,2026-07-14T10:57:27Z,#1585,anandprakash.prasad@eccouncil.org,PAID,ACCISO-V03-DRM-v05,Associate Certified Chief Information Security Officer (ACCISO) Version 3 eCourseware (Volume 5),DRM,ACCISO,2,49.99,99.98,0,134.97,8.5,0.0,143.47,USD,470918632155,Y6K2A7T9PXLM,Anand's Company,Academia,555 N 5th Ave APT 731,Phoenix,Arizona,AZ,United States,US,85003,555 N 5th Ave APT 731,Phoenix,Arizona,AZ,United States,US,85003,"Noah Hayes
",E5P7R1K,Net 7,#1585.1,US (Manual Bank Transfer),2026-07-21,International Council of E-Commerce Consultants Inc,SO16,ICEC,Academia US,016,201,,SUCCESS,2026-07-14T11:00:35Z,
20,2026-07-14T10:56:20Z,#1584,anandprakash.prasad@eccouncil.org,PARTIALLY_PAID,CCT-V01-iLAB,Certified Cybersecurity Technician (CCT) Version 1 iLabs,iLabs,CCT,1,125.0,125.0,0,224.0,15.68,0.0,239.68,USD,470918632155,Y6K2A7T9PXLM,Anand's Company,ATC,1520 Old Trolley Rd,Summerville,South Carolina,SC,United States,US,29485,1520 Old Trolley Rd,Summerville,South Carolina,SC,United States,US,29485,"Anna Sanders
",Z9Q4N6T,Net 7,#1584.1,US (Manual Bank Transfer),2026-07-21,International Council of E-Commerce Consultants Inc,SO16,ICEC,Channel US,017,203,,,,
21,2026-07-14T10:56:20Z,#1584,anandprakash.prasad@eccouncil.org,PARTIALLY_PAID,ECDE-V02-iLAB,EC-Council Certified DevSecOps Engineer (ECDE) Version 2 iLabs,iLabs,CDE,1,99.0,99.0,0,224.0,15.68,0.0,239.68,USD,470918632155,Y6K2A7T9PXLM,Anand's Company,ATC,1520 Old Trolley Rd,Summerville,South Carolina,SC,United States,US,29485,1520 Old Trolley Rd,Summerville,South Carolina,SC,United States,US,29485,"Anna Sanders
",Z9Q4N6T,Net 7,#1584.1,US (Manual Bank Transfer),2026-07-21,International Council of E-Commerce Consultants Inc,SO16,ICEC,Channel US,017,203,,,,
22,2026-07-14T10:51:21Z,#1583,anandprakash.prasad@eccouncil.org,PAID,EHE-V01-iLEARN,Ethical Hacking Essentials (EHE) Version 1 iLearn Kit,,,1,299.0,299.0,0,299.0,26.16,0.0,325.16,USD,753914268180,R8SAP1L4X2QM,Dell,ATC,Brookhaven Ave abc,Bellport,New York,NY,United States,US,11713,Brookhaven Ave abc,Bellport,New York,NY,United States,US,11713,"Isabella Mitchell
",J5K9A1M,Net 7,#1583.1,manual,2026-07-21,International Council of E-Commerce Consultants Inc,SO16,ICEC,Channel US,017,203,,,,
23,2026-07-14T09:40:29Z,#1582,gargeepawarecc@gmail.com,PAID,ECDE-V02-DRM-iLAB-EV-RPS,EC-Council Certified DevSecOps Engineer (ECDE) Version 2 e-Courseware with Exam Voucher (RPS) & iLabs,DRM W/PU EV + iLabs,CDE,2,638.0,1276.0,0,1276.0,50.4,0.0,1326.4,USD,491726835607,P6Q9M2K7AXTW,Order Cap Test,ATC,Minnesota Pl,Loveland,Colorado,CO,United States,US,80538,Minnesota Pl,Loveland,Colorado,CO,United States,US,80538,"Christian Walker
",Y9M1R5K,Net 7,#1582.1,manual,2026-07-21,International Council of E-Commerce Consultants Inc,SO16,ICEC,Channel US,017,203,,SUCCESS,2026-07-14T09:41:14Z,
24,2026-07-14T09:39:17Z,#1581,gargeepawarecc@gmail.com,PENDING,EHE-V01-iLAB-EVPREP-EV-RPS-ECL,Ethical Hacking Essentials (EHE) Version 1 iLabs with Exam Prep & Exam Voucher (RPS),iLabs + Prep EV + PU EV,EHE,1,75.99,75.99,0,75.99,3.0,0.0,78.99,USD,491726835607,P6Q9M2K7AXTW,Order Cap Test,ATC,Minnesota Pl,Loveland,Colorado,CO,United States,US,80538,Minnesota Pl,Loveland,Colorado,CO,United States,US,80538,"Christian Walker
",Y9M1R5K,Net 7,,,2026-07-21,International Council of E-Commerce Consultants Inc,SO16,ICEC,Channel US,017,203,,,,
25,2026-07-14T09:35:29Z,#1580,gargeepawarecc@gmail.com,PAID,EHE-V01-iLAB-EVPREP-EV-RPS-ECL,Ethical Hacking Essentials (EHE) Version 1 iLabs with Exam Prep & Exam Voucher (RPS),iLabs + Prep EV + PU EV,EHE,1,75.99,75.99,0,75.99,3.0,0.0,78.99,USD,491726835607,P6Q9M2K7AXTW,Order Cap Test,ATC,Minnesota Pl,Loveland,Colorado,CO,United States,US,80538,Minnesota Pl,Loveland,Colorado,CO,United States,US,80538,"Christian Walker
",Y9M1R5K,Net 7,,,2026-07-21,International Council of E-Commerce Consultants Inc,SO16,ICEC,Channel US,017,203,"========================
RESTOCKING ENGINE

Processed: 14 Jul 2026, 09:37:51 AM UTC

Return ID: 13130989633

Returned Item (1):

• Ethical Hacking Essentials (EHE) Version 1 iLabs with Exam Prep & Exam Voucher (RPS)
  • Qty   : 1
  • Value : USD 75.99

Restocking Fee       : USD 7.60
Tax Amount           : USD 0.30
Final Deduction      : USD 7.90
Cumulative Deduction : USD 7.90

========================

",SUCCESS,2026-07-14T09:36:32Z,
26,2026-07-14T07:51:24Z,#1579,suraj.mistri@eccouncil.org,PAID,CSCU-V03-CNT-EDU-DRM-RPS-EV-iLAB-VID,"Continuing Education Bundle: Certified Secure Computer User (CSCU) Version 3 e-Courseware with Exam Voucher (RPS), iLabs & Videos",DRM W/PU EV + iLabs + iVideo,CSCU,2,186.97,373.94,0,373.94,41.13,0.0,415.07,CAD,784592316048,SAP7A92KX4M1,Sample Company,,4800 N US Highway 301,Tampa,Florida,FL,United States,US,33610,1855 Victoria Ave,Regina,Saskatchewan,SK,Canada,CA,S4P 3T2,"Sameer Singh
",1634A,,r2PSBrHYDXhD4vh8YR92ougmc,shopify_payments,,EC-Council Canada Inc.,SO15,ECCC,,,,,,,
27,2026-07-14T07:24:48Z,#1578,suraj.mistri@eccouncil.org,PAID,CPENT-V02-iLEARN-US,"Certified Penetration Testing Professional (CPENT) Version 2- Includes 1 Year Access To Videos, e-Courseware, 6 Months iLabs Access And 90 Day Range Key",,,3,2199.0,6597.0,0,6597.0,527.76,0.0,7124.76,USD,784592316048,SAP7A92KX4M1,Sample Company,ATC,1233 Woodside Drive,Hanahan,South Carolina,SC,United States,US,29410,4020 Franklin Pl,Vestal,New York,NY,United States,US,13850,"Anand Prasad
",Sales rep owner code test,Net 90,rruIULr3BQFqFpEg422fc04wi,shopify_payments,2026-10-12,International Council of E-Commerce Consultants Inc,SO16,ICEC,Channel US,017,203,,,,
28,2026-07-14T07:24:14Z,#1577,suraj.mistri@eccouncil.org,PARTIALLY_PAID,NDE-V01-iLEARN,Network Defense Essentials (NDE) Version 1 iLearn Kit,,,2,299.0,598.0,0,1495.0,119.6,0.0,1614.6,USD,784592316048,SAP7A92KX4M1,Sample Company,ATC,4020 Franklin Pl,Vestal,New York,NY,United States,US,13850,4020 Franklin Pl,Vestal,New York,NY,United States,US,13850,"Anand Prasad
",Sales rep owner code test,Net 90,#1577.1,US (Manual Bank Transfer),2026-10-12,International Council of E-Commerce Consultants Inc,SO16,ICEC,Channel US,017,203,,,,
29,2026-07-14T07:24:14Z,#1577,suraj.mistri@eccouncil.org,PARTIALLY_PAID,EHE-V01-iLEARN,Ethical Hacking Essentials (EHE) Version 1 iLearn Kit,,,3,299.0,897.0,0,1495.0,119.6,0.0,1614.6,USD,784592316048,SAP7A92KX4M1,Sample Company,ATC,4020 Franklin Pl,Vestal,New York,NY,United States,US,13850,4020 Franklin Pl,Vestal,New York,NY,United States,US,13850,"Anand Prasad
",Sales rep owner code test,Net 90,#1577.1,US (Manual Bank Transfer),2026-10-12,International Council of E-Commerce Consultants Inc,SO16,ICEC,Channel US,017,203,,,,
30,2026-07-14T07:23:18Z,#1576,suraj.mistri@eccouncil.org,PAID,EHE-V01-iLAB-EVPREP-EV-RPS-ECL,Ethical Hacking Essentials (EHE) Version 1 iLabs with Exam Prep & Exam Voucher (RPS),iLabs + Prep EV + PU EV,EHE,3,75.99,227.97,0,2293.95,206.46,0.0,2500.41,USD,784592316048,SAP7A92KX4M1,Sample Company,ATC,5693 Old Jacksonboro Road,Ravenel,South Carolina,SC,United States,US,29470,5693 Old Jacksonboro Road,Ravenel,South Carolina,SC,United States,US,29470,"Sarah Miller
",,,rJ0jssBHwizkocLoZ6BT5LVre,shopify_payments,,International Council of E-Commerce Consultants Inc,SO16,ICEC,Channel US,017,203,,,,
31,2026-07-14T07:23:18Z,#1576,suraj.mistri@eccouncil.org,PAID,ECDE-V02-DRM-iLAB-EV-RPS,EC-Council Certified DevSecOps Engineer (ECDE) Version 2 e-Courseware with Exam Voucher (RPS) & iLabs,DRM W/PU EV + iLabs,CDE,3,638.0,1914.0,0,2293.95,206.46,0.0,2500.41,USD,784592316048,SAP7A92KX4M1,Sample Company,ATC,5693 Old Jacksonboro Road,Ravenel,South Carolina,SC,United States,US,29470,5693 Old Jacksonboro Road,Ravenel,South Carolina,SC,United States,US,29470,"Sarah Miller
",,,rJ0jssBHwizkocLoZ6BT5LVre,shopify_payments,,International Council of E-Commerce Consultants Inc,SO16,ICEC,Channel US,017,203,,,,
32,2026-07-14T07:23:18Z,#1576,suraj.mistri@eccouncil.org,PAID,DFE-V01-iLAB-EVPREP-EV-RPS-ECL,Digital Forensics Essentials (DFE) Version 1 iLabs with Exam Prep & Exam Voucher (RPS),iLabs + Prep EV + PU EV,DFE,2,75.99,151.98,0,2293.95,206.46,0.0,2500.41,USD,784592316048,SAP7A92KX4M1,Sample Company,ATC,5693 Old Jacksonboro Road,Ravenel,South Carolina,SC,United States,US,29470,5693 Old Jacksonboro Road,Ravenel,South Carolina,SC,United States,US,29470,"Sarah Miller
",,,rJ0jssBHwizkocLoZ6BT5LVre,shopify_payments,,International Council of E-Commerce Consultants Inc,SO16,ICEC,Channel US,017,203,,,,
33,2026-07-14T07:22:00Z,#1575,suraj.mistri@eccouncil.org,PAID,EHE-V01-iLAB-EVPREP-EV-RPS-ECL,Ethical Hacking Essentials (EHE) Version 1 iLabs with Exam Prep & Exam Voucher (RPS),iLabs + Prep EV + PU EV,EHE,3,75.99,227.97,0,227.97,20.52,0.0,248.49,USD,784592316048,SAP7A92KX4M1,Sample Company,ATC,5693 Old Jacksonboro Road,Ravenel,South Carolina,SC,United States,US,29470,5693 Old Jacksonboro Road,Ravenel,South Carolina,SC,United States,US,29470,"Sarah Miller
",,,rRJiRt6zGmBfQrOp1ZAEOahW0,shopify_payments,,International Council of E-Commerce Consultants Inc,SO16,ICEC,Channel US,017,203,,,,
