Report Name,AR report
Store Name,b2b-uat.myshopify.com
Generated On,31-Jul-2026 07:25:53 PM

Sr. No.,Order Date,Order Number,Email ID,Payment Status,Product Type,Product Category,Subtotal,Tax Value,Shipping Charge,Grand Total,Paid,Outstanding,Currency,Partner Name,Partner Cert ID,Partner SAP ID,Partner Type,Sales Rep. Name,Sales Rep. Emp Code,Entity,Division Name,Division Code,Order Age,upto 30 Days,31-60 Days,61-90 Days,91-120 Days,121-150 Days,151-180 Days,181-365 Days,365 Above
14,06-Jul-2026,#1561,sameer.singh@eccouncil.org,PENDING,,,2324.78,302.22,0.0,2627.0,0.0,2627.0,CAD,Tata Sonic,SAP2M7L8X4ZW,529801467312,,,,ECCC,,,25,2627.0,0,0,0,0,0,0,0
15,29-Jun-2026,#1549,eccouncilwork@gmail.com,PENDING,,,432.86,51.94,0.0,484.8,0.0,484.8,CAD,Moxiiii QA Tax Exe,T2Q6L9M5APRX,436290815743,Academia,,,ECCC,Academia US,016,32,0,484.8,0,0,0,0,0,0
16,29-Jun-2026,#1548,eccouncilwork@gmail.com,PENDING,,,432.79,51.93,0.0,484.72,0.0,484.72,CAD,Moxiiii QA Tax Exe,T2Q6L9M5APRX,436290815743,Academia,,,ECCC,Academia US,016,32,0,484.72,0,0,0,0,0,0
17,24-Jun-2026,#1539,moxi.patel.ctr@eccouncil.org,PENDING,,,1196.0,104.66,0.0,1300.66,0.0,1300.66,USD,Test USA Entity,SAP8N5T1Q4LX,574318926140,Resellers,,,ICEC,Direct US,015,37,0,1300.66,0,0,0,0,0,0
18,24-Jun-2026,#1537,gargeepawarecc@gmail.com,PENDING,DRM W/ECC EV + iLabs,CSCU,64.99,3.25,0.0,68.24,0.0,68.24,USD,Order Cap Test,P6Q9M2K7AXTW,491726835607,ATC,,,ICEC,Channel US,017,37,0,68.24,0,0,0,0,0,0
19,23-Jun-2026,#1535,gargeepawarecc@gmail.com,PENDING,DRM W/ECC EV + iLabs,CSCU,0.0,0.0,0.0,6.5,0.0,6.5,USD,Order Cap Test,P6Q9M2K7AXTW,491726835607,ATC,,,ICEC,Channel US,017,38,0,6.5,0,0,0,0,0,0
20,23-Jun-2026,#1533,gargeepawarecc@gmail.com,PENDING,,,8394.0,671.52,0.0,9065.52,0.0,9065.52,USD,Order Cap Test,P6Q9M2K7AXTW,491726835607,,,,ICEC,,,38,0,9065.52,0,0,0,0,0,0
21,23-Jun-2026,#1532,Ketan.thakar@eccouncil.org,PENDING,,,0.0,0.0,0.0,43.23,0.0,43.23,CAD,Finance Test1,Q8L2SAP91XZT,195837462701,ATC,,,ECCC,Channel US,017,38,0,43.23,0,0,0,0,0,0
22,22-Jun-2026,#1527,sameer.singh@eccouncil.org,PENDING,,,41.79,1.48,0.0,63.17,0.0,63.17,USD,Tata Sonic,SAP2M7L8X4ZW,529801467312,ATC,,,ICEC,Channel US,017,39,0,63.17,0,0,0,0,0,0
23,19-Jun-2026,#1521,gargeepawarecc@gmail.com,PENDING,,,897.0,71.76,0.0,968.76,0.0,968.76,USD,Order Cap Test,P6Q9M2K7AXTW,491726835607,,,,ICEC,,,42,0,968.76,0,0,0,0,0,0
24,19-Jun-2026,#1520,gargeepawarecc@gmail.com,PENDING,,,3588.0,287.04,0.0,3875.04,0.0,3875.04,USD,Order Cap Test,P6Q9M2K7AXTW,491726835607,,,,ICEC,,,42,0,3875.04,0,0,0,0,0,0
25,19-Jun-2026,#1519,gargeepawarecc@gmail.com,PENDING,,,8073.0,645.84,0.0,8718.84,0.0,8718.84,USD,Order Cap Test,P6Q9M2K7AXTW,491726835607,,,,ICEC,,,42,0,8718.84,0,0,0,0,0,0
26,19-Jun-2026,#1518,gargeepawarecc@gmail.com,PENDING,,,9793.0,783.44,0.0,10576.44,0.0,10576.44,USD,Order Cap Test,P6Q9M2K7AXTW,491726835607,,,,ICEC,,,42,0,10576.44,0,0,0,0,0,0
27,19-Jun-2026,#1517,gargeepawarecc@gmail.com,PENDING,,,9793.0,783.44,0.0,10576.44,0.0,10576.44,USD,Order Cap Test,P6Q9M2K7AXTW,491726835607,,,,ICEC,,,42,0,10576.44,0,0,0,0,0,0
28,19-Jun-2026,#1516,gargeepawarecc@gmail.com,PENDING,,,9793.0,783.44,0.0,10576.44,0.0,10576.44,USD,Order Cap Test,P6Q9M2K7AXTW,491726835607,,,,ICEC,,,42,0,10576.44,0,0,0,0,0,0
29,19-Jun-2026,#1515,gargeepawarecc@gmail.com,PENDING,,,9793.0,783.44,0.0,10576.44,0.0,10576.44,USD,Order Cap Test,P6Q9M2K7AXTW,491726835607,,,,ICEC,,,42,0,10576.44,0,0,0,0,0,0
30,19-Jun-2026,#1514,gargeepawarecc@gmail.com,PENDING,,,6995.0,559.6,0.0,7554.6,0.0,7554.6,USD,Order Cap Test,P6Q9M2K7AXTW,491726835607,,,,ICEC,,,42,0,7554.6,0,0,0,0,0,0
31,19-Jun-2026,#1513,gargeepawarecc@gmail.com,PENDING,,,6995.0,559.6,0.0,7554.6,0.0,7554.6,USD,Order Cap Test,P6Q9M2K7AXTW,491726835607,,,,ICEC,,,42,0,7554.6,0,0,0,0,0,0
32,19-Jun-2026,#1512,gargeepawarecc@gmail.com,PENDING,,,6995.0,559.6,0.0,7554.6,0.0,7554.6,USD,Order Cap Test,P6Q9M2K7AXTW,491726835607,,,,ICEC,,,42,0,7554.6,0,0,0,0,0,0
33,19-Jun-2026,#1511,gargeepawarecc@gmail.com,PENDING,,,6995.0,559.6,0.0,7554.6,0.0,7554.6,USD,Order Cap Test,P6Q9M2K7AXTW,491726835607,,,,ICEC,,,42,0,7554.6,0,0,0,0,0,0
34,19-Jun-2026,#1510,gargeepawarecc@gmail.com,PENDING,,,9793.0,783.44,0.0,10576.44,0.0,10576.44,USD,Order Cap Test,P6Q9M2K7AXTW,491726835607,,,,ICEC,,,42,0,10576.44,0,0,0,0,0,0
35,19-Jun-2026,#1509,gargeepawarecc@gmail.com,PENDING,,,10995.0,879.6,0.0,11874.6,0.0,11874.6,USD,Order Cap Test,P6Q9M2K7AXTW,491726835607,,,,ICEC,,,42,0,11874.6,0,0,0,0,0,0
36,19-Jun-2026,#1508,gargeepawarecc@gmail.com,PENDING,,,55960.0,4476.8,0.0,60436.8,0.0,60436.8,USD,Order Cap Test,P6Q9M2K7AXTW,491726835607,,,,ICEC,,,42,0,60436.8,0,0,0,0,0,0
37,19-Jun-2026,#1507,gargeepawarecc@gmail.com,PENDING,,,55960.0,4476.8,0.0,60436.8,0.0,60436.8,USD,Order Cap Test,P6Q9M2K7AXTW,491726835607,,,,ICEC,,,42,0,60436.8,0,0,0,0,0,0
38,18-Jun-2026,#1506,gargeepawarecc@gmail.com,PENDING,,,149.0,11.92,0.0,160.92,0.0,160.92,USD,Order Cap Test,P6Q9M2K7AXTW,491726835607,,,,ICEC,,,43,0,160.92,0,0,0,0,0,0
39,18-Jun-2026,#1504,Ketan.thakar@eccouncil.org,PENDING,DRM W/PU EV + Lab + Practice range,CPENT,3957.5,197.88,0.0,4155.38,0.0,4155.38,CAD,Finance Test1,Q8L2SAP91XZT,195837462701,ATC,,,ECCC,Channel US,017,43,0,4155.38,0,0,0,0,0,0
40,18-Jun-2026,#1503,Ketan.thakar@eccouncil.org,PENDING,,,750.04,37.5,0.0,787.54,0.0,787.54,CAD,Finance Test1,Q8L2SAP91XZT,195837462701,ATC,,,ECCC,Channel US,017,43,0,787.54,0,0,0,0,0,0
41,18-Jun-2026,#1500,suraj.mistri@eccouncil.org,PENDING,,,3958.2,316.66,0.0,4274.86,0.0,4274.86,USD,Sample Company,SAP7A92KX4M1,784592316048,Academia,"Suraj mistri test
",Sales rep owner code test,,Academia US,016,43,0,4274.86,0,0,0,0,0,0
42,18-Jun-2026,#1499,suraj.mistri@eccouncil.org,PENDING,,,3958.2,316.66,0.0,4274.86,0.0,4274.86,USD,Sample Company,SAP7A92KX4M1,784592316048,Academia,"Suraj mistri test
",Sales rep owner code test,,Academia US,016,43,0,4274.86,0,0,0,0,0,0
43,18-Jun-2026,#1495,suraj.mistri@eccouncil.org,PENDING,,,538.2,43.06,0.0,581.26,0.0,581.26,USD,Sample Company,SAP7A92KX4M1,784592316048,Academia,"Suraj mistri test
",Sales rep owner code test,,Academia US,016,43,0,581.26,0,0,0,0,0,0
44,18-Jun-2026,#1494,suraj.mistri@eccouncil.org,PENDING,,,2518.2,201.46,0.0,2719.66,0.0,2719.66,USD,Sample Company,SAP7A92KX4M1,784592316048,Academia,"Suraj mistri test
",Sales rep owner code test,,Academia US,016,43,0,2719.66,0,0,0,0,0,0
45,17-Jun-2026,#1493,suraj.mistri@eccouncil.org,PENDING,,,3958.2,316.66,0.0,4274.86,0.0,4274.86,USD,Sample Company,SAP7A92KX4M1,784592316048,Academia,"Suraj mistri test
",Sales rep owner code test,,Academia US,016,44,0,4274.86,0,0,0,0,0,0
46,17-Jun-2026,#1492,Ketan.thakar@eccouncil.org,PENDING,,,1491.0,74.55,0.0,1565.55,0.0,1565.55,CAD,Finance Test1,Q8L2SAP91XZT,195837462701,ATC,,,ECCC,Channel US,017,44,0,1565.55,0,0,0,0,0,0
47,17-Jun-2026,#1491,Ketan.thakar@eccouncil.org,PENDING,,,398.0,35.82,0.0,433.82,0.0,433.82,USD,Finance Test1,Q8L2SAP91XZT,195837462701,ATC,,,,Channel US,017,44,0,433.82,0,0,0,0,0,0
48,17-Jun-2026,#1490,suraj.mistri@eccouncil.org,PENDING,,,2518.2,201.46,0.0,2719.66,0.0,2719.66,USD,Sample Company,SAP7A92KX4M1,784592316048,Academia,"Suraj mistri test
",Sales rep owner code test,,Academia US,016,44,0,2719.66,0,0,0,0,0,0
49,17-Jun-2026,#1489,suraj.mistri@eccouncil.org,PENDING,DRM W/PU EV + iLabs,CDE,1276.0,102.08,0.0,1378.08,0.0,1378.08,USD,Sample Company,SAP7A92KX4M1,784592316048,Academia,"Suraj mistri test
",Sales rep owner code test,,Academia US,016,44,0,1378.08,0,0,0,0,0,0
50,17-Jun-2026,#1487,gargeepawarecc@gmail.com,PENDING,,,299.0,23.92,0.0,322.92,0.0,322.92,USD,Order Cap Test,P6Q9M2K7AXTW,491726835607,,,,,,,44,0,322.92,0,0,0,0,0,0
51,17-Jun-2026,#1486,suraj.mistri@eccouncil.org,PENDING,DRM W/PU EV + iLabs,CDE,1276.0,102.08,0.0,1378.08,0.0,1378.08,USD,Sample Company,SAP7A92KX4M1,784592316048,Academia,"Suraj mistri test
",Sales rep owner code test,,Academia US,016,44,0,1378.08,0,0,0,0,0,0
52,17-Jun-2026,#1485,suraj.mistri@eccouncil.org,PENDING,DRM W/PU EV + iLabs,CDE,1276.0,102.08,0.0,1378.08,0.0,1378.08,USD,Sample Company,SAP7A92KX4M1,784592316048,Academia,"Suraj mistri test
",Sales rep owner code test,,Academia US,016,44,0,1378.08,0,0,0,0,0,0
53,17-Jun-2026,#1484,,PENDING,ECC EV,ACCISO,150.0,0.0,0.0,150.0,0.0,150.0,USD,,,,,,,,,,44,0,150.0,0,0,0,0,0,0
54,12-Jun-2026,#1481,sameer.singh.corp@gmail.com,PENDING,iLabs + Prep EV + PU EV,EHE,0.0,0.0,0.0,7.6,0.0,7.6,USD,Tata Sonic,SAP2M7L8X4ZW,529801467312,Academia,,,,Academia US,016,49,0,7.6,0,0,0,0,0,0
55,12-Jun-2026,#1480,sameer.singh.corp@gmail.com,PENDING,DRM W/ECC EV + iLabs,CSCU,0.0,0.0,0.0,6.5,0.0,6.5,USD,Tata Sonic,SAP2M7L8X4ZW,529801467312,Academia,,,,Academia US,016,49,0,6.5,0,0,0,0,0,0
56,11-Jun-2026,#1478,Ketan.thakar@eccouncil.org,PENDING,DRM W/PU EV + Lab + Practice range,CPENT,6444.0,579.96,0.0,7023.96,0.0,7023.96,USD,Finance Test1,Q8L2SAP91XZT,195837462701,ATC,,,,Channel US,017,50,0,7023.96,0,0,0,0,0,0
57,11-Jun-2026,#1477,Ketan.thakar@eccouncil.org,PENDING,,,1990.0,179.1,0.0,2169.1,0.0,2169.1,USD,Finance Test1,Q8L2SAP91XZT,195837462701,ATC,,,,Channel US,017,50,0,2169.1,0,0,0,0,0,0
58,11-Jun-2026,#1469,anandprakash.prasad@eccouncil.org,PENDING,DRM W/PU EV + iLabs + iVideo,CSCU,737.0,58.96,0.0,795.96,0.0,795.96,USD,TCS,Q7Z2R8SAP1XM,947126580234,,,,,,,50,0,795.96,0,0,0,0,0,0
59,11-Jun-2026,#1468,anandprakash.prasad@eccouncil.org,PENDING,DRM W/ECC EV + iLabs,CSCU,801.99,64.16,0.0,866.15,0.0,866.15,USD,TCS,Q7Z2R8SAP1XM,947126580234,,,,,,,50,0,866.15,0,0,0,0,0,0
60,10-Jun-2026,#1467,anandprakash.prasad@eccouncil.org,PENDING,DRM,ACCISO,0.0,0.0,0.0,41.46,0.0,41.46,USD,TCS,Q7Z2R8SAP1XM,947126580234,,,,,,,51,0,41.46,0,0,0,0,0,0
61,09-Jun-2026,#1465,wugizufo@denipl.net,PENDING,,,2199.0,192.42,0.0,2391.42,4782.82,2391.42,USD,Dell,R8SAP1L4X2QM,753914268180,,,,,,,52,0,2391.42,0,0,0,0,0,0
62,09-Jun-2026,#1463,wugizufo@denipl.net,PENDING,,,299.0,26.16,0.0,325.16,0.0,325.16,USD,Dell,R8SAP1L4X2QM,753914268180,,,,,,,52,0,325.16,0,0,0,0,0,0
63,09-Jun-2026,#1461,wugizufo@denipl.net,PENDING,,,1799.0,157.4,0.0,1956.4,0.0,1956.4,USD,Dell,R8SAP1L4X2QM,753914268180,,,,,,,52,0,1956.4,0,0,0,0,0,0
64,09-Jun-2026,#1452,moxi.patel.ctr@eccouncil.org,PARTIALLY_PAID,,,622.99,54.5,0.0,677.49,650.32,27.17,USD,Test USA Entity,SAP8N5T1Q4LX,574318926140,Academia,,,ICEC,Academia US,016,52,0,677.49,0,0,0,0,0,0
65,05-Jun-2026,#1448,Ketan.thakar@eccouncil.org,PENDING,DRM W/PU EV + Lab + Practice range,CPENT,1050.0,94.5,0.0,1144.5,0.0,1144.5,USD,Finance Test1,Q8L2SAP91XZT,195837462701,ATC,,,ICEC,Channel US,017,56,0,1144.5,0,0,0,0,0,0
66,05-Jun-2026,#1446,radicalnaksha@gmail.com,PENDING,DRM W/PU EV + Lab + Practice range,CPENT,449.0,0.0,0.0,554.0,0.0,554.0,USD,KETAN UNIVERSITY,F3SAP8Q2W7KN,692385741908,Academia,,,ICEC,Academia US,016,56,0,554.0,0,0,0,0,0,0
67,02-Jun-2026,#1437,veknehesta@necub.com,PENDING,DRM W/PU EV + Lab + Practice range,CPENT,2498.0,224.82,0.0,2722.82,0.0,2722.82,USD,Finance Test1,Q8L2SAP91XZT,195837462701,ATC,,,ICEC,Channel US,017,59,0,2722.82,0,0,0,0,0,0
68,29-May-2026,#1430,moxi.patel.ctr@eccouncil.org,PENDING,,,398.0,34.82,0.0,432.82,0.0,432.82,USD,Test USA Entity,SAP8N5T1Q4LX,574318926140,Resellers,,,ICEC,Direct US,015,63,0,0,432.82,0,0,0,0,0
69,29-May-2026,#1429,moxi.patel.ctr@eccouncil.org,PENDING,,,597.0,52.24,0.0,649.24,0.0,649.24,USD,Test USA Entity,SAP8N5T1Q4LX,574318926140,ATC,,,ICEC,Channel US,017,63,0,0,649.24,0,0,0,0,0
70,29-May-2026,#1428,moxi.patel.ctr@eccouncil.org,PENDING,,,598.0,47.84,0.0,645.84,0.0,645.84,USD,Test USA Entity,SAP8N5T1Q4LX,574318926140,Academia,,,ICEC,Academia US,016,63,0,0,645.84,0,0,0,0,0
71,26-May-2026,#1419,suraj.mistri@eccouncil.org,PENDING,DRM W/ECC EV + iLabs,CSCU,324.95,26.0,0.0,350.95,0.0,350.95,USD,Sample Company,SAP7A92KX4M1,784592316048,Academia,"Suraj mistri test
",Sales rep owner code test,ICEC,Channel US,016,66,0,0,350.95,0,0,0,0,0
72,26-May-2026,#1418,suraj.mistri@eccouncil.org,PENDING,DRM W/ECC EV + iLabs,CSCU,2811.96,253.08,0.0,3065.04,0.0,3065.04,USD,Sample Company,SAP7A92KX4M1,784592316048,Academia,"Suraj mistri test
",Sales rep owner code test,ICEC,Channel US,016,66,0,0,3065.04,0,0,0,0,0
73,26-May-2026,#1417,suraj.mistri@eccouncil.org,PENDING,DRM W/PU EV + iLabs + iVideo,CSCU,2340.98,187.28,0.0,2528.26,0.0,2528.26,USD,Sample Company,SAP7A92KX4M1,784592316048,Academia,"Suraj mistri test
",Sales rep owner code test,ICEC,Channel US,016,66,0,0,2528.26,0,0,0,0,0
74,26-May-2026,#1415,suraj.mistri@eccouncil.org,PENDING,DRM W/ECC EV + iLabs,CSCU,454.93,40.95,0.0,495.88,0.0,495.88,USD,Sample Company,SAP7A92KX4M1,784592316048,Academia,"Suraj mistri test
",Sales rep owner code test,ECCC,Channel US,016,66,0,0,495.88,0,0,0,0,0
75,26-May-2026,#1411,suraj.mistri@eccouncil.org,PENDING,DRM W/ECC EV + iLabs,CSCU,324.95,26.0,0.0,350.95,0.0,350.95,USD,Sample Company,SAP7A92KX4M1,784592316048,ATC,,DXTHOCKENS,,,,66,0,0,350.95,0,0,0,0,0
76,22-May-2026,#1409,moxi.patel.ctr@eccouncil.org,PENDING,,,1466.84,161.35,0.0,1628.19,0.0,1628.19,CAD,Sample Company,SAP7A92KX4M1,784592316048,,"Sameer Singh
",1634A,,,,70,0,0,1628.19,0,0,0,0,0
77,20-May-2026,#1408,moxi.patel.ctr@eccouncil.org,PENDING,,,731.7,80.49,0.0,812.19,0.0,812.19,CAD,Sample Company,SAP7A92KX4M1,784592316048,,"Sameer Singh
",1634A,,,,72,0,0,812.19,0,0,0,0,0
78,20-May-2026,#1407,eccouncilwork@gmail.com,PENDING,,,15430.15,771.51,0.0,16201.66,0.0,16201.66,CAD,Moxiiii QA Tax Exe,T2Q6L9M5APRX,436290815743,Academia,,,,,,72,0,0,16201.66,0,0,0,0,0
79,20-May-2026,#1406,eccouncilwork@gmail.com,PENDING,,,15430.15,771.51,0.0,16201.66,0.0,16201.66,CAD,Moxiiii QA Tax Exe,T2Q6L9M5APRX,436290815743,Academia,,,,,,72,0,0,16201.66,0,0,0,0,0
80,19-May-2026,#1402,eccouncilwork@gmail.com,PENDING,,,15421.4,771.07,0.0,16192.47,0.0,16192.47,CAD,Moxiiii QA Tax Exe,T2Q6L9M5APRX,436290815743,Academia,,,,,,73,0,0,16192.47,0,0,0,0,0
81,13-May-2026,#1384,gargeepawarecc@gmail.com,PARTIALLY_PAID,DRM W/ECC EV + iLabs,CSCU,498.93,33.68,0.0,532.61,380.0,152.61,USD,Tata Sonic,SAP2M7L8X4ZW,529801467312,,,,,,,79,0,0,532.61,0,0,0,0,0
82,12-May-2026,#1374,sameer.singh@eccouncil.org,PENDING,,,199.0,13.43,0.0,212.43,0.0,212.43,USD,Tata Sonic,SAP2M7L8X4ZW,529801467312,Reseller,,,,,,80,0,0,212.43,0,0,0,0,0
83,08-May-2026,#1372,gargeepawar@gmail.com,PENDING,DRM W/PU EV + iLabs,CDE,638.0,0.0,0.0,638.0,0.0,638.0,USD,Sample Company,SAP7A92KX4M1,784592316048,,"Sameer Singh
",1634A,,,,84,0,0,638.0,0,0,0,0,0
84,08-May-2026,#1371,gargeepawar@gmail.com,PENDING,,,2199.0,0.0,0.0,2199.0,0.0,2199.0,USD,Sample Company,SAP7A92KX4M1,784592316048,Academia,"Sameer Singh
",1634A,,,,84,0,0,2199.0,0,0,0,0,0
85,08-May-2026,#1370,gargeepawar@gmail.com,PENDING,,,2199.0,0.0,0.0,2199.0,0.0,2199.0,USD,Sample Company,SAP7A92KX4M1,784592316048,,"Sameer Singh
",1634A,,,,84,0,0,2199.0,0,0,0,0,0
86,07-May-2026,#1369,moxi.patel.ctr@eccouncil.org,PENDING,DRM W/PU EV + Lab + Practice range,CPENT,2100.0,0.0,0.0,2100.0,0.0,2100.0,USD,Sample Company,SAP7A92KX4M1,784592316048,ATC,"Hello World
",BANN6645,,,,85,0,0,2100.0,0,0,0,0,0
87,06-May-2026,#1365,moxi.patel.ctr@eccouncil.org,PENDING,CQ iLabs,ISE,559.84,39.18,0.0,599.02,0.0,599.02,USD,Sample Company,SAP7A92KX4M1,784592316048,ATC,,DXTHOCKENS,,,,86,0,0,599.02,0,0,0,0,0
88,06-May-2026,#1364,moxi.patel.ctr@eccouncil.org,PENDING,DRM W/PU EV + iLabs,CDE,20334.3,2440.12,0.0,22774.42,0.0,22774.42,CAD,Sample Company,SAP7A92KX4M1,784592316048,,,USDTAI,,,,86,0,0,22774.42,0,0,0,0,0
89,06-May-2026,#1363,moxi.patel.ctr@eccouncil.org,PENDING,CQ iLabs,CSE,96.98,11.64,0.0,108.62,0.0,108.62,CAD,Sample Company,SAP7A92KX4M1,784592316048,,,USDTAI,,,,86,0,0,108.62,0,0,0,0,0
90,06-May-2026,#1362,moxi.patel.ctr@eccouncil.org,PENDING,DRM,ACCISO,277.08,33.24,0.0,310.32,0.0,310.32,CAD,Sample Company,SAP7A92KX4M1,784592316048,,,USDTAI,,,,86,0,0,310.32,0,0,0,0,0
91,06-May-2026,#1357,moxi.patel.ctr@eccouncil.org,PENDING,DRM,ACCISO,99.98,0.0,0.0,99.98,0.0,99.98,USD,Sample Company,SAP7A92KX4M1,784592316048,ATC,"Hello World
",BANN6645,,,,86,0,0,99.98,0,0,0,0,0
92,05-May-2026,#1356,moxi.patel.ctr@eccouncil.org,PENDING,DRM W/PU EV + iLabs,CDE,687.99,0.0,0.0,687.99,0.0,687.99,USD,Sample Company,SAP7A92KX4M1,784592316048,ATC,"Hello World
",BANN6645,,,,87,0,0,687.99,0,0,0,0,0
93,05-May-2026,#1355,gargeepawar@gmail.com,PARTIALLY_PAID,DRM W/PU EV + iLabs + iVideo,CSCU,11091.0,0.0,0.0,11091.0,10091.0,1000.0,USD,Sample Company,SAP7A92KX4M1,784592316048,Academia,"Sameer Singh
",1634A,,,,87,0,0,11091.0,0,0,0,0,0
94,05-May-2026,#1354,gargeepawarecc@gmail.com,PENDING,,,697.0,48.79,0.0,745.79,0.0,745.79,USD,Tata Sonic,SAP2M7L8X4ZW,529801467312,Academia,"Sameer Singh
",1010,,,,87,0,0,745.79,0,0,0,0,0
95,05-May-2026,#1349,moxi.patel.ctr@eccouncil.org,PARTIALLY_PAID,DRM,ACCISO,111.98,0.72,0.0,112.7,99.98,12.72,USD,Sample Company,SAP7A92KX4M1,784592316048,ATC,"Hello World
",BANN6645,,,,87,0,0,112.7,0,0,0,0,0
96,29-Apr-2026,#1345,kroy.gerber@dropons.com,PENDING,,,1953.06,234.37,0.0,2187.43,0.0,2187.43,CAD,Sample Company,SAP7A92KX4M1,784592316048,,,USDTAI,,,,93,0,0,0,2187.43,0,0,0,0
97,28-Apr-2026,#1344,anandprakash.prasad@eccouncill.org,PENDING,,,199.0,13.93,0.0,212.93,0.0,212.93,USD,Tata Sonic,SAP2M7L8X4ZW,529801467312,Academia,"Sameer Singh
",1010,,,,94,0,0,0,212.93,0,0,0,0
